name,iso3,capital,currency,population
Afghanistan,AFG,Kabul,AFN,"39,306,195"
Albania,ALB,Tirana,lek,"2,876,490"
Algeria,DZA,Algiers,DZD,"44,190,030"
Andorra,AND,Andorra la Vella,EUR,"77,317"
Angola,AGO,Luanda,AOA,"33,312,843"
Antigua And Barbuda,ATG,St. John's,XCD,"98,271"
Argentina,ARG,Buenos Aires,ARS,"45,370,984"
Armenia,ARM,Yerevan,AMD,"2,965,558"
Australia,AUS,Canberra,AUD,"25,625,341"
Austria,AUT,Vienna,EUR,"9,027,998"
Azerbaijan,AZE,Baku,AZN,"10,177,781"
Bahamas,BHS,Nassau,BSD,"394,833"
Bahrain,BHR,Manama,BHD,"1,727,565"
Bangladesh,BGD,Dhaka,BDT,"165,383,477"
Barbados,BRB,Bridgetown,BBD,"287,522"
Belarus,BLR,Minsk,BYR,"9,448,028"
Belgium,BEL,Brussels,EUR,"11,610,784"
Belize,BLZ,Belmopan,BZD,"400,720"
Benin,BEN,Porto-Novo,XOF,"12,260,889"
Bhutan,BTN,Thimphu,BTN,"775,208"
Bolivia,BOL,Sucre,BOB,"11,740,763"
Bosnia and Herzegovina,BIH,Sarajevo,BAM,"3,272,331"
Botswana,BWA,Gaborone,BWP,"2,372,028"
Brazil,BRA,Brasilia,BRL,"213,196,006"
Brunei,BRN,Bandar Seri Begawan,BND,"439,250"
Bulgaria,BGR,Sofia,BGN,"6,926,881"
Burkina Faso,BFA,Ouagadougou,XOF,"21,152,326"
Burundi,BDI,Bujumbura,BIF,"12,045,230"
Cambodia,KHM,Phnom Penh,KHR,"16,817,449"
Cameroon,CMR,Yaounde,XAF,"26,831,876"
Canada,CAN,Ottawa,CAD,"37,881,943"
Central African Republic,CAF,Bangui,XAF,"4,865,703"
Chad,TCD,N'Djamena,XAF,"16,631,098"
Chile,CHL,Santiago,CLP,"19,185,504"
China,CHN,Beijing,CNY,"1,441,654,790"
Colombia,COL,Bogota,COP,"51,112,670"
Comoros,COM,Moroni,KMF,"877,576"
Congo,COG,Brazzaville,XAF,"5,576,861"
Costa Rica,CRI,San Jose,CRC,"5,113,783"
Cote D'Ivoire,CIV,Yamoussoukro,XOF,"26,661,011"
Croatia,HRV,Zagreb,HRK,"4,094,735"
Cuba,CUB,Havana,CUP,"11,323,735"
Cyprus,CYP,Nicosia,EUR,"1,211,064"
Czech Republic,CZE,Prague,CZK,"10,717,290"
Denmark,DNK,Copenhagen,DKK,"5,800,754"
Djibouti,DJI,Djibouti,DJF,"994,124"
Dominica,DMA,Roseau,XCD,"72,061"
Dominican Republic,DOM,Santo Domingo,DOP,"10,894,019"
Ecuador,ECU,Quito,USD,"17,757,364"
Egypt,EGY,Cairo,EGP,"103,162,538"
El Salvador,SLV,San Salvador,USD,"6,499,959"
Equatorial Guinea,GNQ,Malabo,XAF,"1,423,195"
Eritrea,ERI,Asmara,ERN,"3,567,323"
Estonia,EST,Tallinn,EUR,"1,326,908"
Ethiopia,ETH,Addis Ababa,ETB,"116,197,488"
Fiji,FJI,Suva,FJD,"899,202"
Finland,FIN,Helsinki,EUR,"5,544,322"
France,FRA,Paris,EUR,"65,334,006"
Gabon,GAB,Libreville,XAF,"2,248,450"
Gambia,GMB,Banjul,GMD,"2,446,240"
Georgia,GEO,Tbilisi,GEL,"3,985,979"
Germany,DEU,Berlin,EUR,"83,896,324"
Ghana,GHA,Accra,GHS,"31,352,348"
Greece,GRC,Athens,EUR,"10,401,951"
Grenada,GRD,St. George's,XCD,"112,742"
