#,Country,Life Expectancy  (both sexes) ,Females  Life Expectancy ,Males  Life Expectancy
1,Hong Kong,85.63,88.26,82.97
2,Japan,84.85,87.88,81.83
3,South Korea,84.43,87.28,81.32
4,French Polynesia,84.19,86.62,81.90
5,Switzerland,84.09,85.95,82.17
6,Australia,84.07,85.85,82.28
7,Italy,83.87,85.87,81.75
8,Singapore,83.86,86.36,81.38
9,Spain,83.80,86.44,81.10
10,Réunion,83.67,86.45,80.67
11,Malta,83.47,85.39,81.48
12,Norway,83.46,84.97,81.94
13,France,83.46,86.20,80.59
14,Sweden,83.42,85.22,81.65
15,Macao,83.23,85.35,81.05
16,United Arab Emirates,83.07,84.32,82.17
17,Iceland,83.01,84.47,81.63
18,Martinique,82.74,85.73,79.45
19,Israel,82.73,84.71,80.67
20,Canada,82.72,84.91,80.53
21,Ireland,82.58,84.61,80.58
22,Portugal,82.55,85.25,79.68
23,Qatar,82.52,83.48,81.78
24,Luxembourg,82.36,83.94,80.75
25,Netherlands,82.30,83.85,80.72
26,Belgium,82.27,84.45,80.06
27,New Zealand,82.25,83.89,80.60
28,Guadeloupe,82.24,85.65,78.35
29,Austria,82.12,84.45,79.75
30,Denmark,82.09,83.98,80.21
31,Finland,82.08,84.79,79.38
32,Greece,82.03,84.46,79.50
33,Puerto Rico,81.90,85.38,78.28
34,Cyprus,81.82,83.80,79.84
35,Slovenia,81.78,84.47,79.11
36,Germany,81.54,83.88,79.21
37,United Kingdom,81.45,83.33,79.54
38,Bahrain,81.42,82.13,80.86
39,Chile,81.36,83.23,79.45
40,Maldives,81.29,83.00,79.95
41,Costa Rica,81.00,83.58,78.37
42,Taiwan,80.75,83.75,77.86
43,Kuwait,80.60,82.00,79.45
44,Oman,80.25,82.05,78.72
45,Czech Republic (Czechia),79.97,82.75,77.18
46,Albania,79.78,81.59,77.92
47,Panama,79.78,82.71,76.88
48,United States,79.46,81.98,77.05
49,Estonia,79.31,83.17,75.12
50,Saudi Arabia,78.98,81.33,77.33
51,New Caledonia,78.92,81.41,76.46
52,Poland,78.81,82.49,75.10
53,Croatia,78.75,81.82,75.60
54,Slovakia,78.49,81.71,75.21
55,Uruguay,78.29,82.04,74.38
56,Cuba,78.26,80.68,75.86
57,Bosnia and Herzegovina,78.04,81.07,74.65
58,China,78.02,80.97,75.25
59,Jordan,77.98,80.34,75.89
60,Lebanon,77.95,79.86,75.88
61,Peru,77.94,80.30,75.63
62,Colombia,77.91,80.61,75.16
63,Iran,77.85,79.81,76.00
64,Antigua and Barbuda,77.77,80.45,74.74
65,Sri Lanka,77.67,80.75,74.45
66,Ecuador,77.58,80.31,74.88
67,Argentina,77.54,80.02,74.98
68,North Macedonia,77.54,79.71,75.26
69,Guam,77.42,81.59,73.66
70,Turkey,77.42,80.34,74.62
71,Montenegro,77.25,80.45,73.92
72,French Guiana,77.18,80.15,74.33
73,Hungary,77.18,80.33,73.89
74,Curaçao,76.99,80.96,72.66
75,Serbia,76.94,80.18,73.68
76,Malaysia,76.82,79.52,74.45
77,Tunisia,76.71,79.33,74.13
78,Thailand,76.56,80.98,72.34
79,Aruba,76.50,78.92,73.85
80,Algeria,76.48,77.91,75.10
81,Barbados,76.33,78.76,73.75
82,Latvia,76.33,80.60,71.75
83,Mayotte,76.24,78.51,74.27
84,Cabo Verde,76.22,79.37,73.05
85,Lithuania,76.17,80.80,71.42
86,Romania,76.09,79.68,72.56
87,Brazil,76.02,79.15,72.95
88,Armenia,75.85,79.60,71.58
